Id,Category,Name,Phone,Imageurl,Address,Latitude,Longitude,Rating
12,Tea Rooms,Queen of Tarts,+353 1 670 7499,https://s3-media2.fl.yelpcdn.com/bphoto/MvEgnV8zlh0KUurefW007Q/o.jpg,"['Cork Hill', 'Dame Street', 'Dublin 2', 'Republic of Ireland']",53.3441209863508,-6.26752853393555,4.5
13,Golf,Portmarnock Golf Links,+353 1 846 2968,https://s3-media1.fl.yelpcdn.com/bphoto/p92qEj9PqoIBjHfkWEdAjA/o.jpg,"['Golf Links Road', 'Portmarnock, Co. Dublin', 'Republic of Ireland']",53.4172707,-6.1284699,5.0
14,Mini Golf,Bohernabreena pitch & putt course,,,"['Bohernabreena, Tallaght', 'Dublin 24', 'Republic of Ireland']",53.2705,-6.35765,5.0
15,Hiking,Great Sugarloaf Mountain,,https://s3-media1.fl.yelpcdn.com/bphoto/WHF8IAMVDz5mbzjOVDOpMQ/o.jpg,"['Glencap Commons South, Co. Wicklow', 'Republic of Ireland']",53.1541158068118,-6.15047206894046,5.0
16,Amusement Parks,"Rose gardens, St anne's park",+353 1 833 1859,https://s3-media3.fl.yelpcdn.com/bphoto/anrqvS5K7-JEHcI_iTzhKw/o.jpg,"['Mount Prospect Avenue', 'Clontarf', 'Dublin 3', 'Republic of Ireland']",53.3716139137234,-6.17992970659145,5.0
17,Climbing,Gravity Climbing Centre,+353 1 707 8585,https://s3-media1.fl.yelpcdn.com/bphoto/mDgoAnmJY1ziXhTYlBY6Rw/o.jpg,"['6a, Goldenbridge Industrial Estate', 'Inchicore', 'Dublin 8', 'Republic of Ireland']",53.3364716,-6.3221698,4.5
18,Go Karts,Kylemore Karting,+353 1 626 1444,https://s3-media2.fl.yelpcdn.com/bphoto/6zlFPg67FeZ-YFSysWlqbg/o.jpg,"['Unit 1A, Kylemore Industrial Estate', 'Killeen Road', 'Dublin 10', 'Republic of Ireland']",53.3338129463218,-6.35472989266233,4.5
19,Horseback Riding,Killegar Stables,+353 1 286 0919,https://s3-media2.fl.yelpcdn.com/bphoto/HEDlxxHQILfpx4fqE6z1Bw/o.jpg,"['The Scalp', 'Enniskerry, Co. Wicklow', 'Republic of Ireland']",53.2097851253784,-6.19259834289551,5.0
20,Diners,Gerry's Coffee Shop,+353 1 478 3524,https://s3-media3.fl.yelpcdn.com/bphoto/uZv4mcfcJ8DIA9QqK3TkKA/o.jpg,"['6 Montague St', 'Dublin 2', 'Republic of Ireland']",53.33654,-6.26468,4.5
21,Aquariums,Baumann's of Stillorgan,+353 1 288 4021,https://s3-media3.fl.yelpcdn.com/bphoto/LI3lpaR1sbBirl3-vbtjfA/o.jpg,"['No 4 Old Dublin Road', 'Stillorgan, Co. Dublin', 'Republic of Ireland']",53.2890892028809,-6.20777988433838,4.5
22,Beaches,Bulloch Harbour,+353 1 280 0915,https://s3-media2.fl.yelpcdn.com/bphoto/Cgdm3N-uvWYEsE8ivY6VVQ/o.jpg,"['Dalkey', 'Dalkey, Co. Dublin', 'Republic of Ireland']",53.2847098808401,-6.10732555389404,5.0
23,Cinema,Brooks Private Cinema,+353 1 670 4000,https://s3-media4.fl.yelpcdn.com/bphoto/LH3_MTlCMeHKJZyfqy-eyA/o.jpg,"['Drury Street', 'Brooks Hotel', 'Dublin 2', 'Republic of Ireland']",53.3417386731518,-6.26371976866405,5.0
24,Lakes,Guinness Lake,+353 404 20070,https://s3-media1.fl.yelpcdn.com/bphoto/n0bGI1JtKmraQ3iQeKthuQ/o.jpg,"['Ballinastoe Woods', 'Roundwood', 'County Wicklow, Co. Wicklow', 'Republic of Ireland']",53.1075108965825,-6.2607018166504,5.0
